Simulation,ComputationTime,TreeSize
1,10.51,75
2,17.69,78
3,9.43,74
4,7.23,82
5,8.49,66
6,13.25,80
7,3.70,66
8,17.31,79
9,14.57,85
10,6.17,76
11,23.69,95
12,4.97,68
13,9.77,71
14,35.18,94
15,7.12,67
16,9.22,77
17,12.28,76
18,10.00,79
19,11.18,78
20,23.81,81
21,8.33,73
22,32.46,86
23,9.68,77
24,8.92,72
25,23.33,77
26,9.19,72
27,11.41,77
28,160.58,95
29,9.10,77
30,13.81,71
31,81.47,86
32,10.83,79
33,23.21,70
34,9.46,78
35,247.56,83
36,34.14,77
37,32.68,77
38,5.05,68
39,9.34,74
40,11.88,82
41,12.85,78
42,9.79,79
43,22.40,82
44,187.52,107
45,8.86,74
46,12.55,76
47,21.82,81
48,7.09,71
49,9.07,77
50,11.66,88
51,307.99,108
52,9.56,73
53,12.46,79
54,10.42,68
55,7.50,75
56,9.48,77
57,13.39,74
58,25.05,90
59,10.70,76
60,18.40,76
61,41.01,76
62,68.34,87
63,5.42,72
64,49.49,87
65,11.96,85
66,15.96,74
67,7.77,71
68,15.16,87
69,8.04,72
70,9.27,71
71,11.18,73
72,39.47,81
73,4.11,71
74,14.41,92
75,9.68,84
76,8.26,74
77,14.21,76
78,8.93,74
79,104.78,88
80,16.01,88
81,52.75,89
82,24.26,66
83,8.52,76
84,9.10,78
85,10.21,71
86,8.94,78
87,17.36,73
88,9.01,72
89,12.20,79
90,79.92,87
91,40.88,72
92,31.00,73
93,11.80,77
94,15.32,70
95,13.36,70
96,7.89,70
97,12.38,72
98,10.53,84
99,20.07,78
100,11.82,77
