x,v_x,y,v_y,z,v_z
0,0,0,0,0,0
0,3.78966,0,6.41841,0,2.42407
3.78839,-2.5298,6.41715,-5.42973,2.42281,3.58537
1.25777,-0.122963,0.986588,9.19867,6.00735,-2.23532
1.1333,8.32737,10.1837,-7.35397,3.77052,8.04074
9.45826,-9.01548,2.82737,5.68708,11.8088,-6.34652
0.441341,1.31534,8.51301,0.356744,5.46089,-2.79438
1.75536,7.64967,8.86842,1.0061,2.66518,5.87017
9.40225,-4.63393,9.87174,1.43743,8.53257,-0.701252
4.76593,2.58949,11.3068,-0.668879,7.82893,-1.36498
7.35297,-0.818237,10.6355,-0.885196,6.4615,1.5375
6.5323,2.43816,9.74783,0.310948,7.99657,-0.357079
8.96779,0.34752,10.0561,-0.102955,7.63682,2.73876
9.31235,0.334443,9.95019,0.0427694,10.3726,-0.37138
9.64383,3.83164,9.99,0.20737,9.99828,-1.18189
